1.Id: s_3_18
2.The Number Of Stands: 22
3.The Number Of Flights: 31
4.The Number Of Tasks: 61
5.Flight Information Section
1,A320,P,0:05,65,"[['U', 1, 1], ['L', 4, 2, 79]]",5
2,A320,P,1:10,65,"[['U', 3, 2], ['L', 6, 2, 79]]",5
3,A320,P,0:25,75,"[['U', 2, 1], ['L', 4, 3, 92]]",7
4,A320,P,1:40,75,"[['U', 1, 1], ['L', 5, 2, 78]]",7
5,B738,P,0:30,100,"[['U', 3, 2], ['L', 4, 3, 104]]",8
6,B738,P,2:10,100,"[['U', 2, 2], ['L', 5, 3, 85]]",8
7,A320,P,0:35,60,"[['U', 3, 1], ['L', 3, 3, 82]]",9
8,A320,P,1:35,60,"[['U', 2, 2], ['L', 1, 3, 97]]",9
9,B738,P,0:45,45,"[['U', 1, 2], ['L', 4, 3, 81]]",10
10,B738,P,1:30,45,"[['U', 3, 1], ['L', 1, 3, 88]]",10
11,B738,P,0:50,55,"[['U', 3, 1], ['L', 5, 3, 119]]",11
12,B738,P,1:45,55,"[['U', 1, 3], ['L', 5, 3, 96]]",11
13,A320,P,0:50,180,"[['U', 1, 1], ['L', 5, 3, 85]]",12
16,ARJ21,P,1:00,105,"[['U', 2, 2], ['L', 5, 2, 42]]",1
17,A320,P,0:55,160,"[['U', 3, 1], ['L', 2, 3, 110]]",13
18,A320,P,3:35,160,"[['U', 3, 2], ['L', 1, 3, 90]]",13
19,B777,C,1:20,70,"[['U', 1, 1]]",45
20,B777,C,2:30,70,"[['U', 1, 1]]",45
21,B777,C,1:45,230,"[['U', 3, 1], ['U', 1, 1], ['U', 2, 1]]",42
23,B747,C,2:25,165,"[['U', 2, 2]]",41
26,B737,P,1:05,95,"[['U', 2, 2], ['L', 6, 2, 71]]",2
27,B777,C,2:40,175,"[['U', 3, 1], ['U', 1, 4], ['U', 1, 2], ['U', 2, 1]]",40
30,B738,P,2:00,100,"[['U', 2, 3], ['L', 6, 3, 112]]",3
31,B737,C,3:00,235,"[['U', 3, 1]]",46
48,B737,P,2:00,95,"[['U', 3, 2], ['L', 6, 2, 65]]",4
58,A320,P,2:20,115,"[['U', 2, 2], ['L', 4, 3, 93]]",6
62,B738,P,3:10,90,"[['U', 2, 1], ['L', 5, 3, 99]]",14
68,B738,P,3:25,90,"[['U', 2, 2], ['L', 1, 3, 97]]",15
76,ARJ21,P,3:45,105,"[['U', 2, 2], ['L', 4, 2, 48]]",16
84,ARJ21,P,3:50,90,"[['U', 3, 1], ['L', 5, 2, 53]]",17
92,B738,P,3:55,120,"[['U', 1, 3], ['L', 3, 3, 104]]",1
