1.Id: s_3_35
2.The Number Of Stands: 32
3.The Number Of Flights: 104
4.The Number Of Tasks: 227
5.Flight Information Section
36,B737,C,8:10,175,"[['U', 3, 1]]",46
40,B737,C,8:00,75,"[['U', 3, 1]]",45
41,B747,C,8:10,160,"[['U', 1, 3], ['U', 2, 3], ['U', 3, 4]]",42
42,B747,C,10:50,160,"[['U', 2, 4], ['U', 2, 4], ['U', 2, 4]]",42
43,B738,P,8:15,50,"[['U', 2, 1], ['L', 6, 3, 110]]",4
44,B738,P,9:05,50,"[['U', 3, 3], ['L', 6, 3, 101]]",4
45,A320,P,8:45,50,"[['U', 3, 2], ['L', 2, 3, 93]]",6
46,A320,P,9:35,50,"[['U', 3, 1], ['L', 2, 3, 82]]",6
47,B737,P,9:00,55,"[['U', 2, 2], ['L', 6, 2, 80]]",9
48,B737,P,9:55,55,"[['U', 1, 1], ['L', 6, 2, 69]]",9
49,A320,P,9:00,145,"[['U', 1, 2], ['L', 4, 3, 93]]",10
50,A320,P,11:25,145,"[['U', 3, 2], ['L', 3, 3, 104]]",10
51,B738,P,9:05,45,"[['U', 2, 1], ['L', 2, 3, 105]]",11
52,B738,P,9:50,45,"[['U', 1, 2], ['L', 3, 3, 105]]",11
53,A319,P,9:10,45,"[['U', 2, 1], ['L', 5, 2, 80]]",13
54,A319,P,9:55,45,"[['U', 2, 2], ['L', 5, 3, 92]]",13
55,A320,P,9:35,55,"[['U', 2, 1], ['L', 6, 2, 76]]",15
56,A320,P,10:30,55,"[['U', 1, 2], ['L', 5, 3, 93]]",15
57,B738,P,9:45,160,"[['U', 3, 1], ['U', 1, 1], ['U', 2, 1], ['L', 4, 3, 83]]",17
61,A319,P,9:45,50,"[['U', 1, 1], ['L', 6, 2, 77]]",20
62,A319,P,10:35,50,"[['U', 3, 1], ['L', 4, 3, 86]]",20
63,A320,P,9:55,160,"[['U', 1, 1], ['L', 4, 3, 110]]",16
67,A320,P,9:55,50,"[['U', 2, 1], ['U', 1, 1], ['U', 3, 1], ['L', 6, 3, 110]]",21
68,A320,P,10:45,50,"[['U', 2, 2], ['L', 5, 2, 71]]",21
69,B738,P,10:20,170,"[['U', 1, 1], ['L', 2, 3, 110]]",18
73,A319,P,10:30,50,"[['U', 3, 2], ['L', 5, 2, 78]]",1
74,A319,P,11:20,50,"[['U', 2, 1], ['L', 2, 2, 80]]",1
75,A320,P,10:40,175,"[['U', 1, 1], ['L', 4, 3, 93]]",12
79,A320,P,10:50,55,"[['U', 1, 1], ['L', 3, 3, 88]]",11
80,A320,P,11:45,55,"[['U', 3, 2], ['L', 3, 2, 79]]",11
81,B738,P,10:55,60,"[['U', 2, 1], ['L', 4, 3, 104]]",22
82,B738,P,11:55,60,"[['U', 3, 1], ['L', 1, 3, 90]]",22
83,ARJ21,P,11:00,160,"[['U', 3, 2], ['L', 5, 2, 54]]",9
87,B738,P,11:10,60,"[['U', 1, 1], ['U', 2, 1], ['U', 3, 1], ['L', 1, 2, 80]]",2
88,B738,P,12:10,60,"[['U', 3, 3], ['L', 3, 3, 110]]",2
89,A321,P,11:10,170,"[['U', 2, 1], ['L', 1, 3, 115]]",13
93,ARJ21,P,11:10,175,"[['U', 2, 1], ['L', 2, 2, 53]]",14
97,B738,P,11:15,75,"[['U', 1, 2], ['L', 2, 3, 111]]",23
98,B738,P,12:30,75,"[['U', 2, 2], ['L', 5, 2, 76]]",23
99,A321,P,11:25,60,"[['U', 3, 2], ['L', 2, 3, 97]]",5
100,A321,P,12:25,60,"[['U', 2, 2], ['L', 4, 4, 126]]",5
101,B738,P,11:25,60,"[['U', 2, 1], ['L', 4, 3, 95]]",24
102,B738,P,12:25,60,"[['U', 1, 1], ['L', 1, 3, 92]]",24
103,A320,P,11:35,180,"[['U', 1, 1], ['L', 2, 2, 74]]",4
107,B738,P,11:35,55,"[['U', 2, 1], ['U', 3, 1], ['U', 1, 1], ['L', 3, 3, 104]]",20
108,B738,P,12:30,55,"[['U', 1, 3], ['L', 6, 3, 114]]",20
109,A320,P,11:50,165,"[['U', 1, 2], ['L', 6, 3, 87]]",15
113,A320,P,12:00,50,"[['U', 1, 1], ['L', 4, 2, 77]]",21
114,A320,P,12:50,50,"[['U', 2, 2], ['L', 4, 3, 95]]",21
115,B738,P,12:10,45,"[['U', 2, 1], ['L', 1, 3, 93]]",19
116,B738,P,12:55,45,"[['U', 3, 3], ['L', 4, 2, 79]]",19
117,A320,P,12:20,175,"[['U', 1, 1], ['L', 2, 3, 101]]",7
121,B738,P,12:20,170,"[['U', 2, 1], ['L', 4, 3, 87]]",6
125,ARJ21,P,12:25,55,"[['U', 1, 1], ['L', 6, 2, 51]]",10
126,ARJ21,P,13:20,55,"[['U', 2, 1], ['L', 3, 2, 56]]",10
127,A320,P,12:25,175,"[['U', 3, 1], ['L', 5, 2, 80]]",8
131,B738,P,12:30,60,"[['U', 3, 1], ['U', 2, 1], ['U', 1, 1], ['L', 2, 3, 110]]",26
132,B738,P,13:30,60,"[['U', 1, 1], ['L', 2, 3, 112]]",26
133,B738,P,12:45,165,"[['U', 1, 2], ['L', 1, 3, 102]]",3
136,B738,P,9:10,85,"[['U', 3, 2], ['L', 6, 3, 103]]",1
137,ARJ21,P,12:55,45,"[['U', 1, 1], ['L', 6, 2, 51]]",11
138,ARJ21,P,13:40,45,"[['U', 3, 1], ['L', 5, 2, 41]]",11
139,B738,P,12:55,170,"[['U', 1, 1], ['U', 3, 1], ['U', 2, 1], ['L', 1, 3, 105]]",1
142,B737,C,9:40,100,"[['U', 3, 1]]",44
143,B738,P,13:05,45,"[['U', 1, 1], ['L', 5, 3, 99]]",22
144,B738,P,13:50,45,"[['U', 2, 3], ['L', 5, 3, 111]]",22
145,B738,P,13:05,55,"[['U', 3, 1], ['L', 1, 3, 83]]",27
146,B738,P,14:00,55,"[['U', 3, 2], ['L', 2, 3, 81]]",27
147,A320,P,13:10,45,"[['U', 1, 1], ['L', 6, 3, 83]]",28
148,A320,P,13:55,45,"[['U', 3, 3], ['L', 2, 3, 101]]",28
149,A320,P,13:15,175,"[['U', 3, 1], ['L', 2, 2, 77]]",2
152,A320,P,10:10,85,"[['U', 3, 1], ['L', 5, 3, 82]]",2
153,A320,P,13:25,60,"[['U', 1, 1], ['U', 3, 1], ['U', 2, 1], ['L', 4, 3, 107]]",23
154,A320,P,14:25,60,"[['U', 2, 1], ['L', 6, 3, 89]]",23
155,A320,P,13:25,60,"[['U', 1, 2], ['L', 2, 3, 81]]",24
156,A320,P,14:25,60,"[['U', 3, 1], ['L', 4, 3, 89]]",24
157,ARJ21,P,13:35,45,"[['U', 1, 1], ['L', 2, 2, 52]]",25
158,ARJ21,P,14:20,45,"[['U', 3, 1], ['L', 5, 2, 43]]",25
159,A319,P,13:40,165,"[['U', 3, 1], ['L', 5, 2, 73]]",5
162,B738,P,10:10,80,"[['U', 2, 1], ['L', 2, 3, 82]]",3
163,A320,P,14:15,60,"[['U', 3, 1], ['L', 1, 3, 110]]",17
164,A320,P,15:15,60,"[['U', 1, 2], ['L', 1, 3, 87]]",17
165,A320,P,14:20,60,"[['U', 3, 1], ['L', 3, 3, 92]]",18
166,A320,P,15:20,60,"[['U', 1, 1], ['L', 2, 3, 84]]",18
167,B738,P,14:35,60,"[['U', 1, 1], ['U', 2, 1], ['U', 3, 1], ['L', 1, 3, 82]]",12
168,B738,P,15:35,60,"[['U', 2, 3], ['L', 5, 3, 98]]",12
169,A320,P,14:35,160,"[['U', 3, 2], ['L', 1, 3, 93]]",10
172,B738,P,10:25,80,"[['U', 3, 1], ['L', 2, 2, 79]]",5
173,A320,P,14:40,50,"[['U', 3, 1], ['U', 1, 1], ['U', 2, 1], ['L', 4, 2, 78]]",26
174,A320,P,15:30,50,"[['U', 3, 3], ['L', 1, 2, 77]]",26
175,B738,P,14:50,175,"[['U', 1, 1], ['L', 4, 3, 112]]",11
178,A320,P,10:50,95,"[['U', 2, 1], ['L', 6, 3, 103]]",7
179,ARJ21,P,14:55,60,"[['U', 3, 1], ['L', 3, 2, 53]]",9
180,ARJ21,P,15:55,60,"[['U', 2, 1], ['L', 5, 2, 49]]",9
181,A320,P,15:05,160,"[['U', 3, 2], ['L', 1, 3, 92]]",19
184,B738,P,10:55,110,"[['U', 3, 3], ['L', 5, 3, 82]]",8
185,A319,P,15:05,45,"[['U', 2, 1], ['L', 2, 2, 73]]",13
186,A319,P,15:50,45,"[['U', 2, 2], ['L', 2, 3, 81]]",13
187,A320,P,15:05,55,"[['U', 1, 1], ['L', 2, 3, 95]]",14
189,A320,P,15:15,45,"[['U', 3, 1], ['U', 1, 1], ['U', 2, 1], ['L', 4, 3, 100]]",25
191,A320,P,15:20,105,"[['U', 3, 1], ['L', 3, 3, 85]]",23
193,ARJ21,P,15:55,45,"[['U', 2, 1], ['L', 5, 1, 40]]",15
200,A320,P,11:10,120,"[['U', 2, 2], ['L', 4, 3, 95]]",19
204,A320,P,15:55,105,"[['U', 3, 1], ['L', 1, 3, 92]]",16
